original	translation
6729	10573
6730	10574,10575
6731	10576
6732	10577
6733,6734	10578
6735	10579
6736	10580,10581
6737	10582
6738	10583,47420,47421,47422
6739	10585
6740	
	10586
6741,57365	10589
6742	10591,10592
6743	10593
6744	10594
6745	10595
6746	10596
6747	10597
6748	10598
6749	10599
6750	10600
6751	10601
6752	10602
6753,57366	10603
57367	10605
6754	10606
47295	10607
47296	
	10608
6756	10609
6757	10610,10611
6758	10612
6759	10613
6760	10614
6761	10615
6762	10616
6763	47423
47297	47424
47298	47425
6765	10619
6766	10620
6767	10621
6768	10622,10623
6769	10624,10625
6770	10626
6771	10627
6772,6773	10628,10629
6774	10630
6775	10631
6776	10632
6777	10633,10634
6778	10635
6779	10636
6780	
6781	10637,10638,10639
6782	10641
6783	10642
6784	10643
6785	10644,10645
6786	10646,10647,10648
6787	10649,47426
6788	47427,10651
47299	10652
47300	10653
6790	10654
6791	10655
57368	10656
6792	10657,10658
6793	10659,10660
6794,6795	10661,10662
6796	10663
6797	10664
57369	10665
6798	10666
6799	10667
6800	10668
6801	10669
6802	10670
6803	10671
6804	10672
6805	10674
6806	10675,10676
6807	10677,10678
6808	10679
6809	10680
6810	10681
6811	10682,10683
6812	10684
6813	10685,10686
6814	10687,10688
6815	10689,10690
6816	10691
6817	10692
6818	10693
6819	10694
6820	10695
6821	10696
6822	10697
47301,47302	10698
6824	10699
6825	10700
6826	10701
6827	10702
6828	10703,10704
6829	10705
6830	10706
6831	10707
6832	10708
6833	10709
6834	10710
6835	10711
6836	10712
6837	10713
6838	10714
6839	10715
57370	47428
57371	47429
57372	10717
6840	10718
6841	10719
6842	10720,10721
6843	10722
6844	10723,10724
6845,6846	10725
6847	10726
